Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254671		0.477675		0.47787		0.477471		0.0420777		0.0375328		0.0474028
254672		0.478722		0.478969		0.478474		0.0158907		0.0135899		0.0187568
254673		0.478175		0.478351		0.477923		0.0569895		0.0524403		0.0621916
254674		0.48026		0.480409		0.480059		0.140391		0.133239		0.148262
254677		0.471098		0.471125		0.471071		0.441026		0.438714		0.44335
254681		0.471126		0.471151		0.4711		0.434363		0.432206		0.43653
254682		0.471563		0.471638		0.47149		0.410724		0.406646		0.414844
254683		0.471236		0.47127		0.471203		0.440123		0.438216		0.442041
254684		0.473134		0.473252		0.473013		0.267277		0.257559		0.277383
254685		0.471454		0.471517		0.471393		0.405235		0.40122		0.409287
254686		0.471106		0.471133		0.47108		0.436148		0.433885		0.438421
254687		0.471553		0.471604		0.471502		0.382993		0.378026		0.388018
254693		0.470919		0.470926		0.470908		0.460478		0.459762		0.461191
254695		0.471529		0.471598		0.471462		0.405311		0.401461		0.409199
254696		0.471938		0.471988		0.471889		0.379775		0.374496		0.385125
254697		0.471214		0.471256		0.471173		0.425945		0.42269		0.429224
254698		0.471125		0.471148		0.471101		0.460494		0.459903		0.461086
254699		0.471518		0.47142		0.471452		0.404518		0.400607		0.408303
254700		0.471346		0.471397		0.471297		0.42579		0.422832		0.428771
254702		0.471021		0.471038		0.471005		0.446038		0.444492		0.447588
254704		0.47108		0.471102		0.471058		0.438702		0.436768		0.440643
254706		0.471283		0.471326		0.47124		0.417601		0.414495		0.420728
254709		0.471304		0.471351		0.471259		0.422059		0.419158		0.424981
254711		0.4717		0.471783		0.47162		0.420882		0.418011		0.423785
254714		0.470991		0.470961		0.470973		0.454907		0.45367		0.456097
254715		0.47168		0.471558		0.47162		0.406605		0.402782		0.410281
254717		0.470972		0.470985		0.470959		0.456802		0.455947		0.457659
254718		0.471254		0.471296		0.471214		0.421606		0.418553		0.42468
254719		0.471444		0.471501		0.471388		0.407296		0.4037		0.410923
254720		0.470996		0.471009		0.471024		0.454489		0.453552		0.455469
254721		0.470981		0.47095		0.470963		0.454863		0.45371		0.45597
254723		0.470927		0.470933		0.470916		0.460315		0.459649		0.460976
254724		0.470981		0.470995		0.470968		0.449562		0.448278		0.450848
254725		0.471121		0.471151		0.471092		0.431343		0.428911		0.433788
254727		0.471016		0.471034		0.470998		0.447254		0.445526		0.448989
254729		0.471455		0.471503		0.471407		0.39237		0.387697		0.397093
254733		0.471061		0.471084		0.471038		0.438147		0.436142		0.440159
254734		0.471243		0.471284		0.471203		0.421162		0.41816		0.424185
254735		0.476291		0.4765		0.476039		0.0664467		0.0580222		0.0763462
254736		0.470938		0.47095		0.47093		0.45909		0.458194		0.459992
254738		0.470979		0.470991		0.470967		0.451503		0.450286		0.452722
254739		0.471243		0.471278		0.471208		0.43183		0.429537		0.434136
254740		0.471318		0.471356		0.47128		0.447304		0.445982		0.448633
254742		0.471521		0.471422		0.471458		0.403186		0.39904		0.40721
254752		0.470935		0.470945		0.47093		0.459277		0.458545		0.460014
254754		0.475796		0.475989		0.475624		0.103603		0.0952585		0.112895
254755		0.47151		0.471562		0.471462		0.447644		0.446353		0.448945
254756		0.471161		0.471192		0.471131		0.429478		0.42701		0.43196
254757		0.470858		0.470859		0.470856		0.469461		0.469379		0.469544
254758		0.471335		0.471381		0.47129		0.41442		0.41128		0.417583
254759		0.471503		0.471546		0.471459		0.396688		0.39235		0.401071
254760		0.471075		0.471095		0.471055		0.452787		0.451688		0.453889
254761		0.478132		0.478401		0.477882		0.0354666		0.0311838		0.0405969
254762		0.471121		0.471147		0.471095		0.433788		0.431627		0.435958
254763		0.471245		0.471281		0.47121		0.424916		0.422207		0.427641
254764		0.472229		0.472281		0.472177		0.36266		0.357012		0.368396
254765		0.47111		0.471134		0.471086		0.435883		0.433836		0.43794
254766		0.470859		0.470862		0.470857		0.467916		0.467697		0.468135
254768		0.471063		0.471084		0.471043		0.441101		0.439319		0.442891
254771		0.471208		0.471243		0.471174		0.425504		0.422846		0.428176
254772		0.471062		0.471082		0.471043		0.44346		0.441643		0.445284
254774		0.471106		0.471127		0.471086		0.439755		0.437935		0.441582
254776		0.470989		0.471002		0.470976		0.450469		0.449209		0.451732
254778		0.471126		0.471153		0.4711		0.457994		0.457196		0.458794
254779		0.470962		0.470975		0.470949		0.453385		0.452113		0.454659
254780		0.471247		0.471283		0.471211		0.424496		0.421752		0.427257
254781		0.47113		0.471154		0.471107		0.44749		0.44612		0.448865
254783		0.470955		0.470967		0.470942		0.451696		0.450479		0.452915
254786		0.471206		0.471237		0.471175		0.442094		0.440485		0.443711
254787		0.471461		0.471529		0.471394		0.411188		0.407231		0.415185
254789		0.471185		0.471216		0.471155		0.429462		0.427021		0.431917
254790		0.471064		0.471089		0.47104		0.45577		0.454685		0.456858
254791		0.471185		0.471221		0.47115		0.444138		0.442178		0.446111
254792		0.471445		0.471489		0.471551		0.395635		0.391438		0.40002
254793		0.471403		0.47146		0.471348		0.452942		0.451645		0.454249
254794		0.471485		0.471557		0.471415		0.412567		0.408339		0.416839
254796		0.473893		0.47406		0.473721		0.275695		0.266162		0.285685
254798		0.471303		0.471349		0.471259		0.427925		0.425185		0.430686
254802		0.474159		0.474349		0.473972		0.33544		0.329423		0.341669
254803		0.471536		0.471589		0.471636		0.401796		0.397963		0.405823
254804		0.471423		0.471482		0.471364		0.407676		0.403802		0.411584
254805		0.471364		0.471419		0.471311		0.415092		0.411665		0.418548
254806		0.471253		0.47129		0.471216		0.424295		0.421582		0.427025
254808		0.471569		0.471471		0.471501		0.402735		0.398499		0.406845
254811		0.471039		0.471057		0.471022		0.44278		0.441171		0.444395
254820		0.474675		0.474821		0.474523		0.231044		0.218293		0.244775
254877		0.474438		0.474537		0.474336		0.262524		0.252732		0.272811
254910		0.473894		0.474006		0.47378		0.284039		0.272634		0.296016
254943		0.474214		0.474322		0.474102		0.220385		0.211031		0.230225
254944		0.477277		0.477496		0.477035		0.132942		0.12322		0.143825
254946		0.4709		0.470907		0.470894		0.462696		0.462106		0.463288
254984		0.470868		0.470871		0.470862		0.466814		0.466558		0.467066
254996		0.471587		0.471656		0.47152		0.407379		0.4036		0.411195
254997		0.471057		0.471075		0.471039		0.443923		0.442274		0.445578
255000		0.471013		0.470988		0.470995		0.455735		0.454777		0.456653
Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254814		0.470909		0.470917		0.470902		0.461844		0.461293		0.462397
254815		0.471103		0.47113		0.471076		0.448102		0.446436		0.449775
254818		0.471739		0.471825		0.471656		0.427112		0.424632		0.429622
254819		0.472814		0.472886		0.47274		0.296964		0.289269		0.304867
254821		0.471003		0.471016		0.47099		0.449417		0.448153		0.450683
254822		0.471368		0.471419		0.471318		0.419432		0.41645		0.422438
254823		0.472009		0.472075		0.471941		0.377503		0.370833		0.384291
254824		0.471305		0.471355		0.471255		0.416274		0.412766		0.41981
254825		0.471025		0.471039		0.47101		0.446957		0.445598		0.44832
254827		0.471448		0.471509		0.471388		0.405058		0.401132		0.409019
254829		0.471214		0.471247		0.471181		0.42617		0.423602		0.428753
254830		0.471015		0.471031		0.470999		0.447568		0.446181		0.448958
254831		0.471179		0.471208		0.471151		0.448459		0.447143		0.449781
254832		0.472436		0.47251		0.472362		0.327046		0.319754		0.334502
254833		0.471365		0.471414		0.471317		0.412364		0.409061		0.415692
254834		0.4713		0.471345		0.471256		0.420378		0.417121		0.423659
254835		0.471243		0.471284		0.471205		0.435432		0.433093		0.437787
254836		0.471217		0.471251		0.471183		0.433344		0.431206		0.435494
254837		0.47117		0.471197		0.471143		0.430779		0.428562		0.433007
254838		0.471205		0.471237		0.471174		0.434229		0.432097		0.436372
254839		0.471373		0.471421		0.471326		0.420396		0.417557		0.423255
254841		0.473356		0.47346		0.473247		0.238525		0.227933		0.249635
254842		0.471056		0.471081		0.471032		0.457142		0.456139		0.458149
254843		0.470988		0.471003		0.470974		0.447924		0.446546		0.449305
254844		0.47098		0.470992		0.470969		0.451538		0.450408		0.45267
254845		0.47165		0.471548		0.471564		0.404454		0.399936		0.408838
254846		0.471304		0.47135		0.47126		0.417057		0.413868		0.42027
254847		0.471011		0.47103		0.470993		0.444282		0.442594		0.445977
254849		0.4709		0.470906		0.470895		0.462987		0.462497		0.463478
254850		0.471044		0.471061		0.471027		0.445144		0.443554		0.446739
254851		0.471275		0.471315		0.471235		0.420469		0.417558		0.423398
254855		0.471117		0.471141		0.471093		0.435242		0.433231		0.437261
254856		0.471018		0.471034		0.471003		0.445184		0.44374		0.446632
254857		0.470938		0.47095		0.470929		0.459229		0.458335		0.460129
254858		0.472044		0.472115		0.471973		0.358512		0.351426		0.365735
254859		0.471084		0.471109		0.471061		0.437796		0.435731		0.439871
254860		0.471333		0.471374		0.471292		0.456238		0.455333		0.457148
254861		0.471185		0.471213		0.471157		0.453289		0.45226		0.454322
254862		0.471271		0.471311		0.471233		0.433724		0.4316		0.43586
254863		0.47111		0.471136		0.471084		0.436388		0.434192		0.438596
254864		0.470937		0.470947		0.470927		0.459132		0.458387		0.459878
254865		0.47086		0.470862		0.470858		0.467569		0.467379		0.467759
254867		0.470999		0.471014		0.470983		0.45107		0.449809		0.452333
254869		0.471171		0.471198		0.471144		0.451356		0.450235		0.452483
254870		0.471171		0.471205		0.471138		0.429774		0.427216		0.432347
254871		0.471663		0.471563		0.471585		0.397702		0.393287		0.401985
254874		0.471118		0.471142		0.471095		0.436023		0.434063		0.437991
254875		0.471284		0.471332		0.471237		0.420391		0.417076		0.42373
254876		0.47131		0.471359		0.471263		0.422403		0.4193		0.425531
254879		0.470962		0.470975		0.47095		0.457181		0.456329		0.458034
254882		0.471213		0.471245		0.471181		0.426061		0.423582		0.428553
254884		0.4724		0.472474		0.472326		0.328954		0.321637		0.336437
254886		0.470996		0.471008		0.470984		0.449726		0.448531		0.450924
254888		0.471201		0.471232		0.471171		0.427967		0.425552		0.430396
254889		0.471284		0.471325		0.471246		0.435456		0.433336		0.43759
254890		0.471905		0.472009		0.471803		0.408043		0.404432		0.411701
254891		0.471156		0.471188		0.471125		0.430413		0.427822		0.433018
254892		0.471208		0.471244		0.471172		0.427447		0.424594		0.430318
254894		0.470991		0.471004		0.470978		0.450247		0.448976		0.451521
254895		0.471056		0.471078		0.471034		0.446297		0.444682		0.447918
254897		0.470946		0.470956		0.470936		0.45832		0.457592		0.45905
254898		0.471249		0.471292		0.471208		0.419742		0.41666		0.422846
254899		0.471255		0.471301		0.471211		0.426752		0.423738		0.429788
254900		0.470981		0.470993		0.47097		0.451251		0.450108		0.452396
254902		0.471172		0.4712		0.471145		0.430498		0.42824		0.432766
254903		0.471476		0.471534		0.47142		0.409366		0.405949		0.412812
254905		0.470986		0.470955		0.47097		0.455309		0.454293		0.456281
254906		0.471116		0.471141		0.47109		0.437193		0.435244		0.439151
254907		0.47111		0.471136		0.471084		0.439618		0.437313		0.441934
254908		0.471066		0.471091		0.471041		0.443414		0.441525		0.445311
254909		0.471462		0.471526		0.471398		0.407615		0.403674		0.411594
254911		0.471178		0.47121		0.471147		0.427848		0.425332		0.430378
254912		0.471458		0.471519		0.471399		0.409905		0.40652		0.41332
254913		0.471254		0.47129		0.471218		0.424409		0.421693		0.427142
254914		0.471206		0.471239		0.471174		0.42833		0.425785		0.430891
254915		0.471061		0.47108		0.47108		0.455275		0.454307		0.456284
254916		0.471005		0.471023		0.470988		0.445103		0.443463		0.446748
254917		0.471091		0.471113		0.47107		0.437742		0.435861		0.439631
254918		0.471028		0.471047		0.471008		0.449079		0.447596		0.450567
254919		0.471016		0.471032		0.471		0.445445		0.443924		0.446971
254920		0.471348		0.471398		0.471299		0.414153		0.410733		0.4176
254921		0.471549		0.471446		0.471476		0.40051		0.395946		0.404949
254923		0.471218		0.471248		0.471222		0.455929		0.455072		0.456823
254925		0.47106		0.471081		0.471038		0.441072		0.439145		0.443008
254926		0.471381		0.471435		0.471328		0.417591		0.414382		0.420826
254928		0.471535		0.471592		0.471478		0.388288		0.383054		0.39359
254930		0.470953		0.470964		0.470981		0.454376		0.453254		0.455538
254931		0.471017		0.471034		0.471001		0.44838		0.447016		0.449749
254933		0.47093		0.470942		0.470923		0.459162		0.458284		0.460047
254934		0.471187		0.471217		0.471158		0.444591		0.442952		0.446236
254935		0.471108		0.471129		0.471087		0.441141		0.439404		0.442885
254936		0.471324		0.471369		0.471279		0.422511		0.419724		0.425319
254938		0.47098		0.470991		0.470969		0.451403		0.450303		0.452505
254940		0.471809		0.47188		0.471739		0.38419		0.379543		0.388901
254941		0.471002		0.471017		0.470988		0.448928		0.447629		0.450231
254952		0.471281		0.471316		0.471248		0.452808		0.451788		0.453832
254954		0.471692		0.471743		0.47164		0.38047		0.375383		0.385619
254955		0.471089		0.471115		0.471063		0.436399		0.434201		0.438607
254956		0.471791		0.471845		0.471737		0.373665		0.368317		0.379085
254960		0.471021		0.471039		0.471004		0.44395		0.442348		0.445558
254961		0.471692		0.471732		0.471652		0.39512		0.390994		0.399286
254962		0.47093		0.470939		0.470923		0.459783		0.459079		0.460491
254963		0.470988		0.470957		0.470972		0.455155		0.454115		0.45615
254964		0.470924		0.470931		0.470914		0.460474		0.459771		0.461174
254966		0.471469		0.471514		0.471425		0.416557		0.413534		0.419602
254971		0.47097		0.470985		0.470956		0.451409		0.449982		0.45284
254973		0.471235		0.471267		0.471204		0.430262		0.427712		0.432826
254974		0.471571		0.471623		0.471519		0.390642		0.385515		0.395831
254976		0.471043		0.471063		0.471024		0.442577		0.440806		0.444355
254977		0.470992		0.471006		0.470978		0.448083		0.446741		0.449428
254985		0.470986		0.470998		0.470975		0.450832		0.449705		0.451961
254987		0.471088		0.471107		0.47107		0.441242		0.439618		0.442872
254988		0.470894		0.4709		0.470889		0.46351		0.46296		0.464062
254989		0.471482		0.471545		0.471422		0.412429		0.408996		0.415894
254990		0.471024		0.471043		0.471005		0.447096		0.44531		0.448888
254993		0.471048		0.471071		0.471026		0.442091		0.440134		0.444055
255003		0.47103		0.471052		0.471008		0.443754		0.441739		0.445778
255004		0.470998		0.471011		0.470986		0.449517		0.448268		0.450769
255006		0.471376		0.471432		0.471322		0.415494		0.412059		0.418959
255007		0.471312		0.471351		0.471274		0.444395		0.442933		0.445864
255008		0.470981		0.470952		0.470966		0.455644		0.454632		0.456614
255009		0.471106		0.47113		0.471082		0.436972		0.434958		0.438994
255010		0.471493		0.471399		0.471428		0.402455		0.398121		0.406673
255012		0.471105		0.471135		0.471075		0.434175		0.431671		0.436693
255013		0.47102		0.471035		0.471005		0.44734		0.445897		0.448786
255014		0.47094		0.470951		0.47093		0.458824		0.458072		0.459578
255015		0.471283		0.471332		0.471236		0.421657		0.418107		0.425237
255017		0.470918		0.470926		0.470911		0.463449		0.462887		0.464011
255018		0.470962		0.470975		0.47095		0.457054		0.45621		0.457899
255019		0.470951		0.47096		0.470979		0.454667		0.453712		0.455661
255021		0.47138		0.471432		0.471328		0.410446		0.406946		0.413975
255022		0.471029		0.471048		0.471011		0.442742		0.441033		0.444456
255023		0.47133		0.471368		0.471293		0.424387		0.4216		0.427192
255024		0.471445		0.471498		0.471392		0.410932		0.407453		0.41444
255025		0.470877		0.470884		0.470874		0.467055		0.466835		0.46728
255027		0.471057		0.471074		0.471041		0.443926		0.442395		0.445461
255028		0.470862		0.470869		0.47086		0.467069		0.466831		0.467312
255029		0.471374		0.47142		0.471329		0.449791		0.448503		0.451088
255031		0.471267		0.471307		0.471228		0.421956		0.41913		0.4248
255032		0.471252		0.471286		0.471216		0.439292		0.437473		0.44112
255033		0.471209		0.471243		0.471176		0.428136		0.425706		0.430581
255034		0.470879		0.470881		0.470868		0.466509		0.466235		0.466773
255035		0.47112		0.471145		0.471096		0.451032		0.449799		0.45227
255037		0.471388		0.471442		0.471335		0.411534		0.40795		0.415148
255038		0.470848		0.470849		0.470847		0.469669		0.469595		0.469742
255040		0.471027		0.471043		0.471011		0.446742		0.445231		0.448258
255042		0.470997		0.471011		0.470984		0.448657		0.447369		0.449948
255045		0.470966		0.470978		0.470955		0.452877		0.451739		0.454016
255046		0.471298		0.471344		0.471254		0.418734		0.415486		0.422006
255048		0.470938		0.470948		0.470928		0.45882		0.458085		0.459557
255052		0.471002		0.471021		0.470984		0.457257		0.456312		0.458204
255053		0.471316		0.471364		0.471269		0.415573		0.412241		0.418929
255054		0.471503		0.471549		0.471456		0.388428		0.383905		0.393
255057		0.470967		0.470981		0.470955		0.456629		0.455754		0.457507
255058		0.471154		0.47118		0.471128		0.450411		0.449231		0.451596
255060		0.471467		0.471527		0.471409		0.422893		0.42017		0.425639
255061		0.470954		0.470964		0.470943		0.457823		0.457075		0.458573
255062		0.471302		0.471344		0.471261		0.429838		0.427435		0.432258
255063		0.471115		0.471143		0.471088		0.440381		0.438374		0.442398
255065		0.471117		0.471142		0.471092		0.435194		0.43309		0.437308
255067		0.471444		0.4715		0.47139		0.409939		0.406519		0.413388
255069		0.471075		0.471094		0.471056		0.442379		0.440658		0.444107
255071		0.471185		0.471221		0.471149		0.426579		0.423766		0.429408
255072		0.471191		0.471221		0.471161		0.435916		0.433943		0.437899
255075		0.471046		0.471068		0.471025		0.44223		0.440281		0.444187
255076		0.471056		0.471073		0.47104		0.444008		0.442469		0.445552
255077		0.471306		0.471351		0.471262		0.417779		0.414611		0.42097
255078		0.471109		0.471134		0.471085		0.435671		0.433662		0.437689
255081		0.471586		0.471644		0.471528		0.37536		0.36989		0.380903
255082		0.47093		0.470939		0.470924		0.459735		0.459079		0.460395
255084		0.471397		0.471453		0.471343		0.409363		0.405705		0.413052
255085		0.471552		0.471617		0.471488		0.414429		0.41115		0.417738
255087		0.471692		0.471749		0.471634		0.369158		0.363618		0.374775
255088		0.471711		0.471793		0.471632		0.418846		0.415855		0.42187
255089		0.471581		0.471634		0.4717		0.398679		0.394793		0.402775
255090		0.471164		0.471194		0.471135		0.449249		0.447874		0.450631
255091		0.471198		0.471231		0.471164		0.432894		0.43014		0.435664
255094		0.470958		0.470968		0.470948		0.465263		0.464838		0.465689
255095		0.471138		0.471169		0.471107		0.453272		0.451975		0.454575
255097		0.471061		0.471085		0.471038		0.440629		0.438527		0.44274
255098		0.471331		0.47138		0.471283		0.416969		0.413841		0.420122
Dataset 	CL_b 		CL_b_up 		CL_b_do 		CL_s+b 		CL_s+b_up 		CL_s+b_do 	 \\ 
254616		0.476191		0.476365		0.475954		0.210477		0.199247		0.222889
254664		0.476869		0.477143		0.476653		0.0926895		0.0843764		0.102284
254668		0.477101		0.477335		0.476862		0.0584823		0.0525961		0.0653746
254689		0.471504		0.471569		0.471441		0.40954		0.405998		0.413116
254692		0.471316		0.471353		0.471279		0.425187		0.42239		0.428003
254713		0.472316		0.472458		0.472195		0.420683		0.417743		0.423687
254728		0.471012		0.471031		0.470993		0.445946		0.444133		0.447764
254730		0.470957		0.470969		0.470984		0.454205		0.453005		0.455446
254732		0.471552		0.471605		0.471498		0.386096		0.38098		0.391278
254741		0.471409		0.471456		0.471501		0.397462		0.392863		0.402245
254745		0.471385		0.471428		0.471343		0.421102		0.418065		0.42416
254746		0.471129		0.471155		0.471104		0.434027		0.431875		0.436188
254750		0.471115		0.471138		0.471093		0.439049		0.437061		0.441046
254751		0.471446		0.471489		0.471554		0.396702		0.392527		0.401064
254753		0.474985		0.47532		0.474702		0.379208		0.373711		0.385086
254770		0.471453		0.471502		0.471557		0.395405		0.39054		0.400475
254777		0.471668		0.471709		0.471627		0.390591		0.386405		0.394819
254795		0.471536		0.471425		0.471472		0.399835		0.395629		0.403908
254801		0.470846		0.470847		0.470846		0.470423		0.470399		0.470448
254807		0.471375		0.47142		0.471332		0.422473		0.419374		0.425595
254812		0.470989		0.471002		0.470976		0.450469		0.449186		0.451756
254826		0.47095		0.470963		0.470937		0.457076		0.456172		0.457981
254852		0.47096		0.470974		0.470946		0.456593		0.455668		0.457521
254854		0.471091		0.471116		0.471067		0.436055		0.433962		0.438156
254868		0.470869		0.470872		0.470866		0.467336		0.467121		0.467551
254904		0.471511		0.471416		0.471445		0.40332		0.398976		0.407547
254924		0.471004		0.471017		0.470987		0.460097		0.459432		0.460758
254929		0.471347		0.471395		0.4713		0.417015		0.413671		0.420383
254945		0.478931		0.479207		0.478653		0.00758213		0.00623027		0.00934354
254953		0.471028		0.471047		0.47101		0.444084		0.442397		0.445776
254967		0.471478		0.471538		0.471419		0.408612		0.405014		0.412241
254975		0.47115		0.471183		0.471118		0.429313		0.426643		0.432
254979		0.476813		0.477178		0.4767		0.157869		0.149366		0.167384
254992		0.470957		0.470968		0.470945		0.457474		0.456687		0.458263
255011		0.47115		0.47118		0.471119		0.433675		0.431233		0.436129
255030		0.471305		0.471352		0.47126		0.420062		0.416734		0.423415
255049		0.470896		0.470899		0.470885		0.466445		0.466184		0.466698
255059		0.47096		0.470972		0.470949		0.457285		0.456475		0.458096
255064		0.470962		0.470976		0.470949		0.453315		0.451965		0.454668
255080		0.471419		0.471474		0.471365		0.434828		0.432583		0.437091
255093		0.471131		0.471158		0.471105		0.434675		0.43248		0.436881
255096		0.471349		0.471398		0.471301		0.417332		0.413906		0.420783
